代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
000502	绿景控股	-7.52	20.78	-1.69	20.75	20.80	49251	1	-1.04	          2.69	22.17	22.47	20.28	22.47	--  	104801008	  1.27	区域地产	广东	9.75	21.28	27804	21447	  1.30	1	90	--  	      18332.91	
000503	海虹控股	--  	22.37	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	22.37	--  	0	  0.00	互联网	海南	0.00	22.37	0	0	--  	0	0	--  	      89796.70	
000504	南华生物	-5.16	20.77	-1.13	20.77	20.78	13930	5	-0.09	          0.45	21.41	21.90	20.70	21.90	--  	29435064	  0.65	出版业	湖南	5.48	21.13	8129	5801	  1.40	1	10	--  	      31067.32	
000505	珠江控股	-3.78	6.36	-0.25	6.36	6.38	22009	10	-0.93	          0.61	6.77	6.77	6.36	6.61	--  	14328289	  1.01	全国地产	海南	6.20	6.51	13845	8163	  1.70	14	151	--  	      36044.53	
000506	中润资源	-2.40	6.91	-0.17	6.89	6.91	46337	20	-1.00	          0.50	7.08	7.33	6.72	7.08	--  	32418368	  0.82	区域地产	山东	8.62	7.00	23381	22956	  1.02	302	18	--  	      92831.09	
000507	珠海港	-2.27	5.16	-0.12	5.15	5.16	44850	77	-0.95	          0.58	5.31	5.39	5.15	5.28	    58.99	23616922	  1.28	港口	广东	4.55	5.27	23230	21620	  1.07	378	82	--  	      77214.38	
000509	华塑控股	-9.28	4.89	-0.50	4.86	4.89	160464	50	-0.20	          2.65	5.38	5.39	4.85	5.39	--  	80705112	  2.49	其他建材	四川	10.02	5.03	89192	71271	  1.25	10	181	--  	      60563.23	
000510	*ST金路	-4.95	6.14	-0.32	--  	6.14	57034	9	0.00	          0.94	6.30	6.49	6.14	6.46	--  	35329524	  1.25	化工原料	四川	5.42	6.19	35317	21717	  1.63	0	639	--  	      60912.30	
000511	烯碳新材	-6.88	7.31	-0.54	7.30	7.31	216050	102	-1.34	          1.87	7.82	7.95	7.30	7.85	   282.93	163278944	  0.93	矿物制品	辽宁	8.28	7.56	108948	107102	  1.02	1613	93	--  	     115482.22	
000513	丽珠集团	-5.93	36.20	-2.28	36.20	36.21	28440	36	-0.54	          1.23	38.00	38.35	36.11	38.48	    21.75	105797432	  1.32	中成药	广东	5.82	37.20	15485	12954	  1.20	15	52	--  	      23096.98	
000514	渝 开 发	-2.50	6.64	-0.17	6.64	6.65	87244	16	-1.33	          1.03	7.00	7.05	6.61	6.81	   171.86	59565516	  0.85	区域地产	重庆	6.46	6.83	45418	41826	  1.09	27	76	--  	      84377.09	
000516	国际医学	-6.07	14.07	-0.91	14.04	14.07	102221	5	-2.76	          1.45	15.20	15.25	14.05	14.98	    47.41	149970080	  1.22	百货	陕西	8.01	14.67	56016	46204	  1.21	72	5	--  	      70428.36	
000517	荣安地产	-7.23	3.72	-0.29	3.72	3.74	102039	205	-1.84	          0.34	4.01	4.07	3.70	4.01	   370.63	39151556	  1.37	区域地产	浙江	9.23	3.84	60000	42039	  1.43	836	57	--  	     303545.47	
000518	四环生物	-2.14	6.40	-0.14	6.40	6.41	216382	59	-1.08	          2.10	6.60	6.77	6.32	6.54	--  	140597520	  0.84	生物制药	江苏	6.88	6.50	127212	89169	  1.43	943	171	--  	     102953.57	
000519	江南红箭	-8.74	10.76	-1.03	10.76	10.79	136680	77	-2.09	          2.98	11.87	11.98	10.75	11.79	    39.39	154530544	  1.27	机械基件	湖南	10.43	11.31	70871	65809	  1.08	153	89	--  	      45795.89	
000520	长航凤凰	-4.71	8.69	-0.43	8.69	8.70	409116	40	-2.02	          4.04	9.08	9.15	8.68	9.12	    60.61	365784576	  0.76	水运	湖北	5.15	8.94	221658	187458	  1.18	383	50	--  	     101208.34	
