601992	金隅股份	20160113				40.8	311181.1	
002376	新北洋	20160113				392.6	55269.0	
601558	华锐风电	20160113				12000.0	219366.0	
002392	北京利尔	20160113				1318.2	57442.9	
300048	合康变频	20160113				0.0	31153.3	
300379	东方通	20160113				208.8	6077.8	
002616	长青集团	20160113				5358.5	22179.0	
300335	迪森股份	20160113				0.0	23593.8	
300324	旋极信息	20160113				0.0	27673.8	
002330	得利斯	20160113				6486.0	50200.0	
002326	永太科技	20160112				-322.7	52859.1	
002555	三七互娱	20160112				-52.0	15851.0	
002467	二六三	20160112				0.0	59394.0	
002596	海南瑞泽	20160112				956.5	16805.7	
300033	同花顺	20160112				162.3	26362.1	
300288	朗玛信息	20160112				602.5	16921.3	
600711	盛屯矿业	20160112				26754.1	145674.7	
002472	双环传动	20160112				0.0	19247.0	
000401	冀东水泥	20160112				7.2	134718.8	
300312	邦讯技术	20160112				140.6	8757.0	
300329	海伦钢琴	20160112				-40.5	12324.4	
002133	广宇集团	20160112				-3331.9	60150.5	
000665	湖北广电	20160111				5092.4	26226.9	
601908	京运通	20160111				114802.4	171954.0	
603766	隆鑫通用	20160111				45.5	80467.3	
000725	京东方Ａ	20160111				67487.0	2402839.3	
002050	三花股份	20160111				0.0	151743.9	
002225	濮耐股份	20160111				2058.9	58284.8	
002673	西部证券	20160111				10000.0	240000.0	
600887	伊利股份	20160111				8166.4	603336.9	
300287	飞利信	20160111				0.0	65498.1	
000739	普洛药业	20160111				30610.5	106004.7	
002352	鼎泰新材	20160111				1594.8	7702.5	
600794	保税科技	20160111				3036.0	110277.4	
002512	达华智能	20160111				0.0	42589.6	
300007	汉威电子	20160111				1916.8	20134.2	
600869	智慧能源	20160111				0.0	198008.7	
300411	金盾股份	20160108				3585.6	7585.6	
000415	渤海租赁	20160108				4.9	311558.6	
600392	盛和资源	20160108				54953.9	94103.9	
600795	国电电力	20160108				183486.3	1965039.8	
300065	海兰信	20160108				0.0	18136.0	
600787	中储股份	20160108				17962.3	185982.8	
002580	圣阳股份	20160108				-32.2	14887.8	
002160	常铝股份	20160108				-1965.1	32469.5	
300128	锦富新材	20160108				-453.9	29702.9	
600410	华胜天成	20160108				0.0	63744.6	
002609	捷顺科技	20160108				129.5	28636.2	
000504	南华生物	20160108				70.1	31067.3	
000862	银星能源	20160108				5129.1	33435.9	
600682	南京新百	20160108				6.0	71619.0	
600266	北京城建	20160108				10059.0	151704.0	
000008	神州高铁	20160108				67929.5	132002.3	
000059	*ST华锦	20160108				19946.9	139997.1	
600048	保利地产	20160108				184.4	1075671.5	
300381	溢多利	20160107				0.0	2633.5	
300126	锐奇股份	20160107				0.0	21090.3	
600176	中国巨石	20160107				0.0	87263.0	
601166	兴业银行	20160107				287272.0	1905233.6	
