EURUSD,60
symbol,period,date,k,d,ma5,close,datanum,signtype
AUS200,30,2016.05.30 20:30:00,42.02898550724638,33.82316551533982,5405.401594551978,5405,100,0
AUS200,60,2016.05.30 20:00:00,0,0,0,5405,5,0
AUS200,240,1970.01.01 00:00:00,0,0,0,0,2,0
AUS200,1440,2016.05.28 00:00:00,90.11164274322169,69.40518619009232,5391.413879960159,5432,100,0
AUS200,10080,2016.05.22 00:00:00,88.89321901792674,82.70857363060993,5257.434273084325,5432,100,0
AUS200,43200,1970.01.01 00:00:00,0,0,0,0,1,0
CADCHFpro,1,2016.05.30 20:27:00,15.86715867159305,8.931188046546,0.7610724443808689,0.76115,100,39
CADCHFpro,5,2016.05.30 21:00:00,25.47468354430342,21.50618985841394,0.7606092130525463,0.76046,45,0
CADCHFpro,15,2016.05.30 20:45:00,62.13592233009823,0,0.760707593324544,0.76042,16,0
CADCHFpro,30,2016.05.30 20:30:00,0,0,0.760513248,0.76042,9,0
CADCHFpro,60,2016.05.30 20:00:00,0,0,0,0.76042,5,0
CADCHFpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
CADCHFpro,1440,2016.05.28 00:00:00,66.95893613912024,51.5398763516737,0.758908746743751,0.76246,100,0
CADCHFpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
CADCHFpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
CADJPYpro,1,2016.05.30 20:27:00,19.99999999999923,11.92927241399386,85.21890673131198,85.23099999999999,100,38
CADJPYpro,5,2016.05.30 21:00:00,39.66408268733579,29.72202981288901,85.17582508832479,85.161,45,0
CADJPYpro,15,2016.05.30 20:45:00,70.70979335130157,0,85.16835737792512,85.17,16,0
CADJPYpro,30,2016.05.30 20:30:00,0,0,85.1370656,85.17,9,0
CADJPYpro,60,2016.05.30 20:00:00,0,0,0,85.17,5,0
CADJPYpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
CADJPYpro,1440,2016.05.10 00:00:00,17.92801371167399,8.780501771924383,83.96712234304354,84.25700000000001,100,17
CADJPYpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
CADJPYpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
CHFJPYpro,1,2016.05.30 21:04:00,11.59420289854913,32.44314885241112,111.9782898797949,111.968,100,0
CHFJPYpro,5,2016.05.30 21:00:00,63.26963906581731,55.34892225770524,111.9689640611408,111.968,45,0
CHFJPYpro,15,2016.05.30 20:45:00,78.44827586206968,0,111.946556761088,111.994,16,0
CHFJPYpro,30,2016.05.30 20:30:00,0,0,111.9327008,111.994,9,0
CHFJPYpro,60,2016.05.30 20:00:00,0,0,0,111.994,5,0
CHFJPYpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
CHFJPYpro,1440,2016.05.09 00:00:00,16.38950480413902,13.19978502035051,111.3074001637524,111.734,100,18
CHFJPYpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
CHFJPYpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
COPPER,1,2016.05.30 21:04:00,34.61538461538159,28.07692307692263,2.101154483411171,2.101,100,0
COPPER,5,2016.05.30 21:00:00,72.49999999999589,69.70042530568772,2.100768149171123,2.101,41,0
COPPER,15,2016.05.30 20:45:00,81.9444444444446,0,2.0991584654848,2.1015,16,0
COPPER,30,2016.05.30 20:30:00,0,0,2.097948,2.1015,9,0
COPPER,60,2016.05.30 20:00:00,0,0,0,2.1015,5,0
COPPER,240,1970.01.01 00:00:00,0,0,0,0,2,0
COPPER,1440,2016.04.12 00:00:00,18.28332170272163,10.01801670293708,2.122893171441663,2.1355,100,41
COPPER,10080,1970.01.01 00:00:00,0,0,0,0,1,0
COPPER,43200,1970.01.01 00:00:00,0,0,0,0,1,0
CORN,1,2016.05.30 05:00:00,0,0,0,4.1325,3,0
CORN,5,2016.05.30 05:00:00,100,85.67058823529553,4.122676118659243,4.1325,100,0
CORN,15,2016.05.30 05:00:00,91.6666666666676,87.93294648613906,4.119308379474832,4.1325,100,0
CORN,30,2016.05.30 05:00:00,96.15384615384656,90.88113686294582,4.113453877884629,4.1325,100,0
CORN,60,2016.05.30 05:00:00,94.95798319327743,85.45859605017657,4.108423702420678,4.1325,100,0
CORN,240,2016.05.30 05:00:00,94.80519480519462,92.33129481593072,4.092097509799047,4.1325,100,0
CORN,1440,2016.05.28 00:00:00,94.23503325942347,84.43256622415842,4.024289262142179,4.13,100,0
CORN,10080,2016.05.22 00:00:00,81.33802816901411,68.73328360924124,3.863003880810917,4.13,100,0
CORN,43200,2016.04.01 00:00:00,24.10051399200458,24.4899861996712,3.737659650977593,3.9175,88,0
COTTON,1,1970.01.01 00:00:00,0,0,0,0,2,0
COTTON,5,1970.01.01 00:00:00,0,0,0,0,2,0
COTTON,15,1970.01.01 00:00:00,0,0,0,0,1,0
COTTON,30,1970.01.01 00:00:00,0,0,0,0,2,0
COTTON,60,1970.01.01 00:00:00,0,0,0,0,1,0
COTTON,240,1970.01.01 00:00:00,0,0,0,0,2,0
COTTON,1440,2016.05.28 00:00:00,84.93552168815947,68.87030955882695,0.6282825114670127,0.6427,100,0
COTTON,10080,1970.01.01 00:00:00,0,0,0,0,2,0
COTTON,43200,1970.01.01 00:00:00,0,0,0,0,1,0
ESTX50,1,2016.05.30 21:03:00,55.55555555555556,43.33333333333331,3075.898270567628,3076,80,0
