QS|BU|0|300135
QS|BU|0|002377
QS|BU|0|002192
QS|BU|1|600339
QS|BU|0|300103
QS|BU|0|300210
QS|BU|1|600284
QD|I|0|000655
QD|I|1|600408
QD|I|0|000762
QD|I|1|600117
QD|I|1|600507
QD|I|1|600532
QD|I|1|600784
QD|I|0|000409
QD|I|1|600882
QD|I|0|000629
QD|I|1|600193
QD|I|1|600382
QD|JD|0|000735
QD|JD|0|002477
QD|JD|0|002234
QD|JD|0|002299
QD|JD|0|002458
QD|JD|0|002321
QZ|JR|1|600598
QZ|JR|0|000998
QD|FB|1|601996
QD|FB|0|000592
QD|FB|0|002043
QD|BB|1|601996
QD|BB|0|000592
QD|BB|0|002043
QD|PP|0|002221
QD|PP|0|002389
QD|PP|1|601208
QD|PP|0|002324
QD|PP|1|600387
QS|HC|0|002075
QS|HC|1|601005
QS|HC|0|000709
QS|HC|0|000898
QS|HC|1|600005
QS|HC|1|600782
QS|HC|1|600022
QS|HC|1|600219
QS|HC|1|600231
QS|HC|1|600282
QS|HC|1|601003
QS|HC|1|600569
QS|HC|1|600581
QZ|LR|0|000998
QZ|LR|0|300087
QZ|LR|0|000713
QZ|LR|0|300189
QZ|LR|1|600127
QZ|JR|0|300087
QZ|SF|0|000709
QZ|SF|1|600295
QZ|SF|1|601216
QZ|SM|1|600010
QZ|SM|1|600390
QZ|SM|0|002125
QZ|SM|0|000652
QD|A|0|000893
QD|CS|0|002604
QD|CS|1|600701
QD|CS|0|002041
QD|CS|0|002286
QD|CS|1|600311
QS|NI|1|600478
QS|NI|1|600872
QS|NI|1|600839
QS|NI|1|600854
QS|NI|0|002012
QS|NI|0|000962
QS|NI|1|600549
QS|NI|1|600111
QS|NI|1|600241
QS|NI|1|600432
QS|NI|1|601600
QS|NI|1|601618
QS|NI|0|000060
QS|NI|0|000693
QS|NI|0|002340
QS|NI|0|300208
QS|NI|1|603799
QS|SN|0|000960
QS|SN|1|600711
QS|SN|1|600350
CZ|IC|1|000905
CZ|IH|1|000016
QZ|ZC|1|600997
QZ|ZC|0|000983
QZ|ZC|0|000937
QZ|ZC|1|600395
QZ|ZC|0|000968
QZ|ZC|1|601699
QZ|ZC|0|000933
QZ|ZC|1|600188
QZ|ZC|1|601101
QS|WR|0|000932
QS|WR|0|000959
QS|WR|0|002110
QZ|WS|1|600354
QZ|WS|1|600598
QZ|FG|1|601636
QZ|FG|1|600876
QD|Y|0|000893
QS|ZN|1|600331
QS|ZN|1|600497
QS|ZN|1|600961
QS|ZN|1|601168
QS|ZN|0|000060
QS|ZN|0|000751
QS|ZN|0|000758
QS|ZN|0|002114
CZ|IF|1|000300
QZ|ME|0|000683
QZ|ME|1|601011
QZ|PM|1|600354
QZ|PM|1|600598
QS|AG|1|600531
QS|AG|0|000630
QS|AG|1|600362
QS|AG|1|600497
QS|AG|0|000060
QS|AG|1|601168
QS|AG|1|600489
QS|AG|0|002237
QS|AG|1|600547
QS|AG|0|000603
QS|AG|1|601899
QZ|OI|0|000893
QZ|RI|1|600598
QZ|RI|0|000998
QZ|WH|1|600598
QZ|WH|1|600354
