21|2|0014
21|2|0015
21|2|0016
21|2|0017
21|2|0018
21|2|0019
176|1|0021
176|1|0022
176|1|0023
176|1|0025
176|1|0026
176|1|0027
176|1|0028
176|1|0029
505|6|0038
505|6|0039
81|6|0049
291|6|0059
54|6|0060
54|6|0069
357|0|0079
71|6|0089
286|6|0099
198|3|0100
198|3|0101
198|3|0102
198|3|0103
198|3|0104
198|3|0105
198|3|0106
198|3|0107
198|3|0108
198|3|0109
198|3|0110
198|3|0113
198|3|0114
198|3|0115
198|3|0116
198|3|0117
198|3|0118
198|3|0119
238|2|0120
238|2|0121
238|2|0127
238|2|0129
179|2|0130
179|2|0138
33|1|0145
33|1|0146
33|1|0147
33|1|0148
33|1|0149
33|1|0150
33|1|0151
33|1|0152
33|1|0153
33|1|0154
33|1|0155
33|1|0156
33|1|0157
33|1|0158
33|1|0159
33|1|0160
33|1|0161
33|1|0162
33|1|0163
33|1|0164
33|1|0165
33|1|0166
33|1|0167
33|1|0168
33|1|0169
561|0|0179
334|1|0188
334|1|0189
565|0|0209
43|0|0211
43|0|0217
43|0|0219
430|5|0229
167|2|0230
167|2|0237
167|2|0238
167|2|0239
257|1|0240
257|1|0248
257|1|0249
607|0|0259
349|2|0260
349|2|0268
349|2|0269
393|2|0270
393|2|0271
393|2|0278
393|2|0279
274|6|0290
274|6|0298
274|6|0299
547|1|0310
547|1|0311
547|1|0315
547|1|0316
547|1|0317
547|1|0318
547|1|0319
379|6|0320
34|6|0330
34|6|0331
34|6|0335
34|6|0336
34|6|0337
34|6|0338
34|6|0339
34|6|0344
34|6|0345
34|6|0346
34|6|0347
34|6|0348
34|6|0349
21|2|0350
21|2|0354
21|2|0355
21|2|0356
21|2|0357
21|2|0358
21|2|0359
92|1|0360
92|1|0361
92|1|0368
92|1|0369
325|4|0380
325|4|0381
325|4|0383
325|4|0384
325|4|0385
325|4|0386
325|4|0387
325|4|0388
325|4|0389
604|1|0398
604|1|0399
34|6|0429
477|0|0439
88|2|0440
88|2|0449
554|5|0460
554|5|0461
554|5|0468
554|5|0469
105|6|0470
562|1|0480
562|1|0482
562|1|0483
562|1|0484
562|1|0485
562|1|0486
562|1|0487
562|1|0488
562|1|0489
70|2|0490
70|2|0491
70|2|0498
70|2|0499
606|1|0508
606|1|0509
425|4|0513
425|4|0514
425|4|0516
425|4|0517
425|4|0518
26|6|0520
26|6|0521
26|6|0524
26|6|0528
26|6|0529
33|1|0534
33|1|0535
33|1|0547
33|1|0548
33|1|0549
466|2|0558
466|2|0559
263|6|0568
263|6|0569
59|6|0570
59|6|0579
605|0|0588
605|0|0589
195|0|0598
195|0|0599
466|2|0600
466|2|0604
466|2|0605
466|2|0606
466|2|0607
466|2|0608
466|2|0609
466|2|0610
466|2|0611
466|2|0612
466|2|0614
466|2|0615
466|2|0616
466|2|0617
466|2|0618
466|2|0619
372|6|0630
372|6|0637
372|6|0638
372|6|0639
520|6|0644
520|6|0645
520|6|0647
520|6|0648
520|6|0649
567|2|0650
567|2|0658
567|2|0659
367|1|0660
367|1|0661
367|1|0668
367|1|0669
192|6|0670
192|6|0679
345|4|0690
345|4|0696
345|4|0697
345|4|0699
608|2|0709
535|6|0710
535|6|0719
441|4|0726
441|4|0727
441|4|0728
441|4|0729
27|0|0730
499|2|0750
499|2|0758
499|2|0759
428|6|0767
428|6|0768
428|6|0769
146|2|0770
146|2|0775
146|2|0776
146|2|0777
146|2|0778
146|2|0779
249|1|0800
249|1|0808
442|6|0810
442|6|0815
442|6|0816
442|6|0817
442|6|0818
442|6|0819
119|6|0828
119|6|0829
96|1|0830
96|1|0831
96|1|0832
96|1|0838
23|6|0860
23|6|0869
492|1|0878
492|1|0879
266|3|0890
266|3|0891
266|3|0892
266|3|0893
266|3|0894
266|3|0895
266|3|0896
266|3|0897
266|3|0898
266|3|0899
72|2|0908
72|2|0909
400|0|0929
30|2|0940
30|2|0947
30|2|0948
30|2|0949
264|6|0950
264|6|0958
264|6|0959
541|6|0960
541|6|0968
541|6|0969
177|6|0989
266|3|0990
266|3|0991
266|3|0995
266|3|0996
266|3|0997
266|3|0998
266|3|0999
234|2|1000
234|2|1008
234|2|1009
278|1|1010
278|1|1011
278|1|1018
278|1|1019
326|6|1020
326|6|1029
93|0|1059
298|6|1070
298|6|1079
94|2|1089
94|2|1092
94|2|1093
94|2|1095
94|2|1096
94|2|1097
94|2|1098
94|2|1099
56|6|1100
56|6|1107
56|6|1108
56|6|1109
568|6|1119
83|6|1129
330|2|1130
330|2|1138
330|2|1139
20|0|1150
20|0|1159
247|1|1160
247|1|1162
247|1|1163
247|1|1164
247|1|1165
247|1|1166
247|1|1167
247|1|1168
247|1|1169
144|1|1170
144|1|1173
144|1|1174
144|1|1175
144|1|1176
144|1|1177
144|1|1178
144|1|1179
423|4|1190
423|4|1191
443|4|1192
423|4|1193
423|4|1194
423|4|1195
423|4|1196
423|4|1197
423|4|1198
423|4|1199
102|1|1200
102|1|1205
102|1|1206
102|1|1207
102|1|1208
102|1|1209
340|6|1210
340|6|1219
176|1|1250
176|1|1251
176|1|1252
176|1|1254
176|1|1255
176|1|1256
176|1|1257
176|1|1258
176|1|1259
97|1|1270
97|1|1274
97|1|1275
97|1|1276
97|1|1277
97|1|1278
97|1|1279
486|1|1290
486|1|1293
486|1|1294
486|1|1295
486|1|1296
486|1|1297
486|1|1298
486|1|1299
306|6|1318
306|6|1319
354|2|1320
354|2|1321
354|2|1324
354|2|1325
354|2|1326
354|2|1327
354|2|1328
354|2|1329
221|6|1330
221|6|1339
144|1|1349
526|1|1358
526|1|1359
112|6|1360
112|6|1368
112|6|1369
547|1|1370
547|1|1371
547|1|1373
547|1|1374
547|1|1375
547|1|1376
547|1|1377
547|1|1378
547|1|1379
323|2|1380
323|2|1381
323|2|1382
323|2|1387
323|2|1388
323|2|1389
333|2|1390
333|2|1391
333|2|1398
333|2|1399
366|6|1410
366|6|1419
26|6|1420
26|6|1421
26|6|1422
26|6|1423
26|6|1424
26|6|1425
26|6|1426
26|6|1427
26|6|1428
26|6|1429
449|6|1437
449|6|1438
449|6|1439
501|6|1440
501|6|1442
501|6|1443
501|6|1444
501|6|1445
501|6|1446
501|6|1447
501|6|1448
501|6|1449
428|6|1450
428|6|1452
428|6|1453
428|6|1454
428|6|1455
460|6|1467
460|6|1468
460|6|1469
433|4|1475
433|4|1476
433|4|1478
404|1|1480
404|1|1489
433|4|1490
433|4|1493
433|4|1494
433|4|1497
433|4|1499
218|0|1509
494|6|1519
191|6|1529
407|1|1537
407|1|1538
21|2|1548
21|2|1549
53|6|1568
53|6|1569
545|0|1579
431|4|1580
431|4|1586
431|4|1587
431|4|1588
431|4|1589
547|1|1598
547|1|1599
15|6|1608
15|6|1609
80|2|1610
80|2|1618
80|2|1619
6|4|1638
6|4|1639
307|6|1650
307|6|1659
139|2|1679
139|2|1680
139|2|1681
139|2|1682
139|2|1683
139|2|1684
139|2|1685
139|2|1686
139|2|1687
139|2|1688
139|2|1689
267|6|1706
267|6|1707
267|6|1708
267|6|1709
343|2|1714
343|2|1715
343|2|1716
343|2|1717
343|2|1718
343|2|1719
143|6|1720
143|6|1729
87|0|1730
343|2|1740
343|2|1741
343|2|1742
343|2|1743
343|2|1744
343|2|1745
343|2|1746
343|2|1747
343|2|1748
343|2|1749
526|1|1750
526|1|1751
526|1|1752
526|1|1753
526|1|1754
526|1|1755
526|1|1756
526|1|1757
526|1|1758
526|1|1759
311|0|1760
46|6|1770
46|6|1777
46|6|1778
46|6|1779
141|3|1780
141|3|1781
141|3|1788
141|3|1789
343|2|1790
343|2|1791
343|2|1792
343|2|1793
343|2|1794
343|2|1795
343|2|1796
343|2|1797
343|2|1798
343|2|1799
626|2|1808
259|6|1820
259|6|1828
259|6|1829
162|6|1830
162|6|1831
162|6|1832
162|6|1833
162|6|1834
162|6|1835
162|6|1836
162|6|1837
162|6|1838
162|6|1839
224|2|1850
224|2|1851
224|2|1852
224|2|1856
224|2|1857
224|2|1858
224|2|1859
60|2|1871
60|2|1877
60|2|1878
60|2|1879
131|2|1880
131|2|1884
131|2|1885
131|2|1886
131|2|1887
131|2|1888
131|2|1889
536|0|1890
77|2|1906
77|2|1907
77|2|1908
77|2|1909
538|2|1910
538|2|1918
538|2|1919
223|2|1920
223|2|1921
223|2|1926
223|2|1927
223|2|1928
223|2|1929
38|2|1940
38|2|1949
294|6|1959
147|6|1978
147|6|1979
62|2|1985
62|2|1986
62|2|1987
62|2|1988
62|2|1989
448|2|2000
448|2|2004
448|2|2005
448|2|2007
448|2|2008
448|2|2009
62|2|2010
62|2|2011
62|2|2012
62|2|2013
62|2|2014
62|2|2015
62|2|2016
62|2|2017
62|2|2018
62|2|2019
62|2|2020
62|2|2021
62|2|2023
62|2|2024
62|2|2025
62|2|2026
62|2|2027
62|2|2028
62|2|2029
609|0|2039
1|4|2042
1|4|2043
1|4|2044
1|4|2045
1|4|2046
1|4|2047
1|4|2048
1|4|2049
176|1|2054
176|1|2055
176|1|2056
176|1|2057
176|1|2058
176|1|2059
1|4|2070
1|4|2071
1|4|2072
1|4|2073
1|4|2074
1|4|2075
1|4|2076
1|4|2077
1|4|2078
1|4|2079
1|4|2080
1|4|2081
1|4|2082
1|4|2083
1|4|2084
1|4|2085
1|4|2086
1|4|2088
1|4|2089
73|6|2090
73|6|2099
465|1|2100
465|1|2107
465|1|2108
465|1|2109
11|6|2110
11|6|2118
11|6|2119
165|6|2120
165|6|2129
617|2|2148
617|2|2149
186|6|2150
186|6|2158
186|6|2159
284|2|2160
284|2|2161
284|2|2162
284|2|2167
284|2|2168
284|2|2169
275|0|2179
344|0|2180
344|0|2189
239|6|2190
124|1|2218
124|1|2219
335|6|2220
335|6|2221
335|6|2222
335|6|2227
335|6|2228
335|6|2229
548|6|2249
205|6|2250
205|6|2259
18|6|2280
18|6|2288
18|6|2289
347|2|2290
347|2|2292
347|2|2296
347|2|2297
347|2|2298
347|2|2299
213|6|2300
213|6|2309
123|4|2310
123|4|2311
123|4|2312
123|4|2313
123|4|2315
123|4|2317
413|2|2320
413|2|2321
413|2|2322
413|2|2328
413|2|2329
413|2|2330
413|2|2331
413|2|2332
413|2|2336
413|2|2338
413|2|2339
262|6|2357
262|6|2358
262|6|2359
123|4|2362
123|4|2363
493|6|2370
493|6|2378
241|2|2380
241|2|2381
241|2|2388
241|2|2389
204|3|2398
403|1|2417
403|1|2418
403|1|2419
328|2|2430
328|2|2431
328|2|2432
328|2|2433
328|2|2434
328|2|2435
328|2|2436
328|2|2437
328|2|2438
328|2|2439
328|2|2445
328|2|2446
328|2|2447
328|2|2448
328|2|2449
518|2|2489
410|2|2508
410|2|2509
385|1|2518
385|1|2519
251|2|2520
251|2|2528
251|2|2529
480|0|2539
569|0|2549
109|2|2559
602|1|2568
602|1|2569
289|6|2588
289|6|2589
90|6|2590
90|6|2599
381|2|2600
381|2|2601
381|2|2602
381|2|2607
381|2|2608
381|2|2609
574|0|2619
164|6|2620
164|6|2621
164|6|2628
164|6|2629
371|6|2639
610|0|2658
610|0|2659
305|6|2660
305|6|2661
305|6|2669
601|0|2678
601|0|2679
138|6|2680
138|6|2688
138|6|2689
132|6|2698
132|6|2699
37|6|2700
37|6|2708
37|6|2709
158|2|2710
158|2|2717
158|2|2718
158|2|2719
254|2|2720
254|2|2721
254|2|2722
254|2|2727
254|2|2728
254|2|2729
598|0|2749
107|6|2750
107|6|2759
600|2|2768
600|2|2769
285|2|2778
285|2|2779
117|2|2800
117|2|2801
117|2|2802
117|2|2804
117|2|2805
117|2|2806
117|2|2807
117|2|2808
117|2|2809
99|2|2810
99|2|2811
99|2|2818
99|2|2819
230|6|2830
230|6|2839
233|6|2840
233|6|2842
233|6|2846
233|6|2847
233|6|2848
233|6|2849
233|6|2850
233|6|2851
233|6|2857
61|1|2860
61|1|2867
61|1|2868
61|1|2869
577|0|2879
394|2|2880
394|2|2881
394|2|2887
394|2|2888
394|2|2889
310|6|2909
255|6|2929
315|2|2934
315|2|2935
315|2|2936
315|2|2937
315|2|2938
315|2|2939
517|6|2958
517|6|2959
354|2|2965
354|2|2966
354|2|2967
354|2|2968
354|2|2969
336|6|2974
336|6|2975
336|6|2976
336|6|2977
336|6|2978
336|6|2979
339|0|2980
553|1|2990
553|1|2997
553|1|2998
553|1|2999
380|2|3000
380|2|3001
380|2|3007
380|2|3008
174|6|3020
174|6|3029
155|6|3039
563|2|3046
563|2|3047
563|2|3048
563|2|3049
86|6|3050
86|6|3056
86|6|3057
86|6|3058
86|6|3059
313|6|3069
430|5|3077
172|1|3080
172|1|3081
172|1|3086
172|1|3087
172|1|3088
172|1|3089
547|1|3103
547|1|3104
547|1|3105
547|1|3106
547|1|3107
547|1|3108
547|1|3109
69|6|3110
69|6|3119
547|1|3124
547|1|3125
547|1|3126
547|1|3127
547|1|3128
547|1|3129
544|0|3137
544|0|3138
544|0|3139
467|2|3156
467|2|3157
467|2|3158
467|2|3159
515|0|3168
515|0|3169
422|5|3170
422|5|3172
422|5|3173
422|5|3174
422|5|3175
422|5|3176
422|5|3178
422|5|3179
422|5|3186
217|6|3190
611|5|3208
611|5|3209
66|6|3220
66|6|3229
270|2|3230
270|2|3233
270|2|3234
270|2|3235
270|2|3236
270|2|3237
270|2|3238
270|2|3239
