1|巴克莱|巴克莱亚洲有限公司
3|巴西证券|巴西证券有限公司
4|百德能|百德能经纪有限公司
5|北京证券|北京证券有限公司
6|百裕证券|百裕证券有限公司
7|包大卫|包大卫证券投资有限公司
8|宝来证券|宝来证券(香港)有限公司
11|宝盛金融|宝盛金融服务有限公司
12|宝通证券|宝通证券亚洲有限公司
13|宝威证券|宝威证券有限公司
15|SMBC|SMBC Nikko Securities (Hong Kong) Limited
16|大和金融|大和资本市场金融交易香港有限公司 (非开业经纪)
17|标准证券|标准证券亚洲有限公司(非开业经纪)
18|博大证券|博大证券有限公司
20|切尔西|Chelsea Securities Limited
21|昌利证券|昌利证券有限公司
22|昌盛证券|昌盛证券有限公司
23|昌万年|昌万年有限公司
24|长雄证券|长雄证券有限公司
25|长盈证券|长盈证券有限公司
26|常汇证券|常汇证券有限公司
27|陈岳明|陈岳明证券有限公司
28|创兴证券|创兴证券有限公司
29|达利证券|达利证券有限公司
30|摩根富国|摩根富国证券有限公司
31|大德证券|大德证券(亚洲)有限公司
32|大丰证券|大丰证券有限公司
33|海通国际|海通国际证券有限公司
34|大和资本|大和资本市场香港有限公司
35|大华继显|大华继显(香港)有限公司
36|大华证券|大华证券(香港)有限公司
37|大辉证券|大辉证券有限公司
38|大宁证券|大宁证券有限公司
39|大盛证券|大盛证券投资有限公司
40|大唐投资|大唐投资(证券)有限公司
41|大亚证券|大亚证券有限公司
42|大一投资|大一投资有限公司
43|大正证券|大正证券有限公司
44|麦盛证券|麦盛证券有限公司
45|大众金融|大众金融证券有限公司
46|大众证券|大众证券有限公司
47|国浩资本|国浩资本有限公司
48|德丰证券|德丰证券投资有限公司
49|德盛证券|德盛证券有限公司
50|德意志|德意志证券亚洲有限公司
51|第一上海|第一上海证券有限公司
52|第一证券|第一证券(香港)有限公司
53|电讯数码|电讯数码证券有限公司
54|鼎成证券|鼎成证券有限公司
55|东方汇财|东方滙财证券有限公司
56|东海东京|东海东京证券(亚洲)有限公司
57|东航国际|东航国际金融(香港)有限公司
58|东汇证券|东汇证券有限公司
59|东美证券|东美证券有限公司
60|东泰证券|东泰证券有限公司
61|东信证券|东信证券有限公司
62|东亚证券|东亚证券有限公司
63|东洋证券|东洋证券亚洲有限公司
64|东英亚洲|东英亚洲证券有限公司
65|西证证券|西证(香港)证券经纪有限公司
66|发利证券|发利证券有限公司
67|巴黎证券|法国巴黎证券(亚洲)有限公司
68|法国兴业|法国兴业证券(香港)有限公司
69|飞达证券|飞达证券有限公司
70|丰乐证券|丰乐证券有限公司
71|丰年证券|丰年证券投资有限公司
72|福财证券|福财证券及期货有限公司
73|复耀证券|复耀证券有限公司
74|富昌证券|富昌证券有限公司
75|财华证券|财华证券有限公司
76|富盛证券|富盛证券有限公司
77|富泰中顺|富泰中顺证券期货有限公司
78|ABN AMRO|ABN AMRO Clearing Hong Kong Limited
79|富通证券|富通证券有限公司
80|富欣证券|富欣证券有限公司
81|富业证券|富业证券投资有限公司
82|富银证券|富银证券(香港)有限公司
83|富泽证券|富泽证券有限公司
84|冈地投资|冈地投资(香港)有限公司
85|冈三国际|冈三国际(亚洲)有限公司
86|高富金融|高富金融有限公司
87|高勤证券|高勤证券有限公司
88|高升证券|高升证券有限公司
89|高盛亚洲|高盛(亚洲)证券有限公司
90|高氏兄弟|高氏兄弟证券有限公司
91|高信证券|高信证券有限公司
92|高银证券|高银(证券)有限公司
93|哥连顿|哥连顿证券投资有限公司
