1|600251|20160310|-18.56
1|600252|20160310|11.83
1|600255|20160310|-35.79
1|600256|20160310|-11.46
1|600257|20160310|20.72
1|600258|20160310|7.91
1|600259|20160310|3.92
1|600260|20160310|-10.19
1|600261|20160310|-0.2
1|600262|20160310|11.57
1|600265|20160310|9.62
1|600266|20160310|-4.8
1|600267|20160310|-3.28
1|600268|20160310|-10.7
1|600269|20160310|12.7
1|600270|20160310|45.92
1|600271|20160310|7.75
1|600272|20160310|-8.87
1|600273|20160310|17.57
1|600275|20160310|-19.94
1|600276|20160310|5.35
1|600277|20160310|-10.19
1|600278|20160310|12.83
1|600279|20160310|-0.93
1|600280|20160310|-30.14
1|600281|20160310|-8.46
1|600282|20160310|-15.56
1|600283|20160310|-5.67
1|600284|20160310|-8.22
1|600285|20160310|29.46
1|600287|20160310|-17.77
1|600288|20160310|27.31
1|600289|20160310|13.45
1|600290|20160310|27.73
1|600291|20160310|18.67
1|600292|20160310|13.34
1|600293|20160310|23.99
1|600295|20160310|3
1|600297|20160310|10.18
1|600298|20160310|4.66
1|600299|20160310|1.5
1|600300|20160310|15.1
1|600301|20160310|-7.72
1|600302|20160310|-0.9
1|600303|20160310|35.18
1|600305|20160310|6.46
1|600306|20160310|11.56
1|600307|20160310|-16.88
1|600308|20160310|-6.06
1|600309|20160310|7.47
1|600310|20160310|-14.95
1|600311|20160310|20.86
1|600312|20160310|15.74
1|600313|20160310|1.79
1|600315|20160310|5.56
1|600316|20160310|4.68
1|600317|20160310|2.61
1|600318|20160310|27.3
1|600319|20160310|-21.77
1|600320|20160310|17.14
1|600321|20160310|-15.11
1|600322|20160310|6.9
1|600323|20160310|17.51
1|600325|20160310|0.32
1|600326|20160310|1.43
1|600327|20160310|6.85
1|600328|20160310|24.66
1|600329|20160310|16.21
1|600330|20160310|20.11
1|600331|20160310|11.31
1|600332|20160310|11.31
1|600333|20160310|7.09
1|600335|20160310|2.26
1|600336|20160310|10.97
1|600337|20160310|3.61
1|600338|20160310|4.1
1|600339|20160310|-4.76
1|600340|20160310|8.8
1|600343|20160310|-8.28
1|600345|20160310|-9.88
1|600346|20160310|-4.77
1|600348|20160310|11.53
1|600350|20160310|6.19
1|600351|20160310|29.25
1|600352|20160310|19.84
1|600353|20160310|6.66
1|600354|20160310|7.97
1|600355|20160310|-6.5
1|600356|20160310|23.18
1|600358|20160310|3.91
1|600359|20160310|-9.45
1|600360|20160310|14.51
1|600361|20160310|-11.54
1|600362|20160310|13.37
1|600363|20160310|6.93
1|600365|20160310|36.56
1|600366|20160310|33.03
1|600367|20160310|4.13
1|600368|20160310|10.64
1|600369|20160310|10.8
1|600370|20160310|8.67
1|600371|20160310|16.57
1|600372|20160310|-1.29
1|600373|20160310|13.16
1|600375|20160310|-7.41
1|600376|20160310|-17.28
1|600377|20160310|5.16
1|600378|20160310|-0.65
1|600379|20160310|11.87
1|600380|20160310|-2.48
1|600381|20160310|-25.47
1|600382|20160310|13.6
1|600383|20160310|20.74
1|600385|20160310|15.51
1|600386|20160310|23.5
1|600387|20160310|7.09
1|600388|20160310|-16.49
1|600389|20160310|16.75
1|600390|20160310|7.95
1|600391|20160310|14.31
1|600392|20160310|-19.85
1|600393|20160310|22.66
1|600395|20160310|10.43
1|600396|20160310|-13.86
1|600397|20160310|-30.37
1|600398|20160310|32.87
1|600399|20160310|-9.5
1|600400|20160310|24.75
1|600401|20160310|-81.99
1|600403|20160310|-27.17
1|600405|20160310|-22.11
1|600406|20160310|0.49
1|600408|20160310|19.81
1|600409|20160310|13.09
1|600410|20160310|24.02
1|600415|20160310|5.6
1|600416|20160310|25.84
1|600418|20160310|19.32
1|600419|20160310|-7.92
1|600420|20160310|16.2
1|600421|20160310|29.09
1|600422|20160310|-13.03
1|600423|20160310|32.85
1|600425|20160310|28.84
1|600426|20160310|19.21
1|600428|20160310|7.04
1|600429|20160310|9.16
1|600432|20160310|2.84
1|600433|20160310|-11.24
1|600435|20160310|26.33
1|600436|20160310|-7.58
1|600438|20160310|11.44
1|600439|20160310|-6.68
1|600444|20160310|14.92
1|600446|20160310|1.97
1|600448|20160310|-3.38
1|600449|20160310|20.7
1|600452|20160310|13.1
1|600455|20160310|36.73
1|600456|20160310|14.87
1|600458|20160310|4.46
1|600459|20160310|10.57
1|600460|20160310|0.81
1|600461|20160310|8.43
1|600462|20160310|7.53
1|600463|20160310|12.88
1|600466|20160310|8.15
1|600467|20160310|-10.47
1|600468|20160310|-9.01
1|600469|20160310|-2.44
1|600470|20160310|33.08
1|600475|20160310|7.89
1|600476|20160310|21.46
1|600477|20160310|-5.9
1|600478|20160310|8.26
1|600479|20160310|14.49
1|600480|20160310|12.78
1|600481|20160310|1.59
1|600482|20160310|36.34
1|600483|20160310|6.51
1|600485|20160310|-3.32
1|600486|20160310|18.71
1|600487|20160310|-0.08
1|600488|20160310|10.42
1|600489|20160310|7.62
1|600490|20160310|-38.22
1|600491|20160310|6.62
1|600493|20160310|20.77
1|600495|20160310|-22.3
